dteday,hr,mnth,cnt,temp,hum,windspeed,weathersit
2011-01-01,0,1,16,0.24,0.81,0.0,1
2011-01-01,1,1,40,0.22,0.8,0.0,1
2011-01-01,2,1,32,0.22,0.8,0.0,1
2011-01-01,3,1,13,0.24,0.75,0.0,1
2011-01-01,4,1,1,0.24,0.75,0.0,1
2011-01-01,5,1,1,0.24,0.75,0.0896,2
2011-01-01,6,1,2,0.22,0.8,0.0,1
2011-01-01,7,1,3,0.2,0.86,0.0,1
2011-01-01,8,1,8,0.24,0.75,0.0,1
2011-01-01,9,1,14,0.32,0.76,0.0,1
2011-01-01,10,1,36,0.38,0.76,0.2537,1
2011-01-01,11,1,56,0.36,0.81,0.2836,1
2011-01-01,12,1,84,0.42,0.77,0.2836,1
2011-01-01,13,1,94,0.46,0.72,0.2985,2
2011-01-01,14,1,106,0.46,0.72,0.2836,2
2011-01-01,15,1,110,0.44,0.77,0.2985,2
2011-01-01,16,1,93,0.42,0.82,0.2985,2
2011-01-01,17,1,67,0.44,0.82,0.2836,2
2011-01-01,18,1,35,0.42,0.88,0.2537,3
2011-01-01,19,1,37,0.42,0.88,0.2537,3
2011-01-01,20,1,36,0.4,0.87,0.2537,2
2011-01-01,21,1,34,0.4,0.87,0.194,2
2011-01-01,22,1,28,0.4,0.94,0.2239,2
2011-01-01,23,1,39,0.46,0.88,0.2985,2
2011-01-02,0,1,17,0.46,0.88,0.2985,2
2011-01-02,1,1,17,0.44,0.94,0.2537,2
2011-01-02,2,1,9,0.42,1.0,0.2836,2
2011-01-02,3,1,6,0.46,0.94,0.194,2
2011-01-02,4,1,3,0.46,0.94,0.194,2
2011-01-02,6,1,2,0.42,0.77,0.2985,3
2011-01-02,7,1,1,0.4,0.76,0.194,2
2011-01-02,8,1,8,0.4,0.71,0.2239,3
2011-01-02,9,1,20,0.38,0.76,0.2239,2
2011-01-02,10,1,53,0.36,0.81,0.2239,2
2011-01-02,11,1,70,0.36,0.71,0.2537,2
2011-01-02,12,1,93,0.36,0.66,0.2985,2
2011-01-02,13,1,75,0.36,0.66,0.1343,2
2011-01-02,14,1,59,0.36,0.76,0.194,3
2011-01-02,15,1,74,0.34,0.81,0.1642,3
2011-01-02,16,1,76,0.34,0.71,0.1642,3
2011-01-02,17,1,65,0.34,0.57,0.194,1
2011-01-02,18,1,53,0.36,0.46,0.3284,2
2011-01-02,19,1,30,0.32,0.42,0.4478,1
2011-01-02,20,1,22,0.3,0.39,0.3582,1
2011-01-02,21,1,31,0.26,0.44,0.3284,1
2011-01-02,22,1,9,0.24,0.44,0.2985,1
2011-01-02,23,1,8,0.22,0.47,0.1642,1
2011-01-03,0,1,5,0.22,0.44,0.3582,1
2011-01-03,1,1,2,0.2,0.44,0.4179,1
2011-01-03,4,1,1,0.16,0.47,0.3881,1
2011-01-03,5,1,3,0.16,0.47,0.2836,1
2011-01-03,6,1,30,0.14,0.5,0.3881,1
2011-01-03,7,1,64,0.14,0.5,0.194,1
2011-01-03,8,1,154,0.14,0.5,0.2836,1
2011-01-03,9,1,88,0.16,0.43,0.3881,1
2011-01-03,10,1,44,0.18,0.43,0.2537,1
2011-01-03,11,1,51,0.2,0.4,0.3284,1
2011-01-03,12,1,61,0.22,0.35,0.2985,1
2011-01-03,13,1,61,0.24,0.35,0.2836,1
2011-01-03,14,1,77,0.26,0.3,0.2836,1
2011-01-03,15,1,72,0.26,0.3,0.2537,1
2011-01-03,16,1,76,0.26,0.3,0.2537,1
2011-01-03,17,1,157,0.24,0.3,0.2239,1
2011-01-03,18,1,157,0.24,0.32,0.1045,1
2011-01-03,19,1,110,0.2,0.47,0.0,1
2011-01-03,20,1,52,0.2,0.47,0.1045,1
2011-01-03,21,1,52,0.18,0.64,0.1343,1
2011-01-03,22,1,20,0.14,0.69,0.1343,1
2011-01-03,23,1,12,0.18,0.55,0.1045,1
2011-01-04,0,1,5,0.16,0.55,0.1045,1
2011-01-04,1,1,2,0.16,0.59,0.1045,1
2011-01-04,2,1,1,0.14,0.63,0.1343,1
2011-01-04,4,1,2,0.14,0.63,0.0896,1
2011-01-04,5,1,4,0.12,0.68,0.1045,1
2011-01-04,6,1,36,0.12,0.74,0.1045,1
2011-01-04,7,1,94,0.12,0.74,0.1343,1
2011-01-04,8,1,179,0.14,0.69,0.1642,1
2011-01-04,9,1,100,0.16,0.64,0.2239,1
2011-01-04,10,1,42,0.16,0.69,0.3284,2
2011-01-04,11,1,57,0.22,0.51,0.2985,1
2011-01-04,12,1,78,0.22,0.51,0.1642,1
2011-01-04,13,1,97,0.24,0.56,0.194,1
2011-01-04,14,1,63,0.26,0.52,0.2239,1
2011-01-04,15,1,65,0.28,0.52,0.2537,1
2011-01-04,16,1,83,0.3,0.49,0.2537,1
2011-01-04,17,1,212,0.28,0.48,0.2239,1
2011-01-04,18,1,182,0.26,0.48,0.194,1
2011-01-04,19,1,112,0.24,0.48,0.1045,1
